시/도코드,시/도명,시/군/구명,시/군/구,코드
11,서울특별시,　　,,
11,서울특별시,230,강남구,
11,서울특별시,250,강동구,
11,서울특별시,090,강북구,
11,서울특별시,160,강서구,
11,서울특별시,210,관악구,
11,서울특별시,050,광진구,
11,서울특별시,170,구로구,
11,서울특별시,180,금천구,
11,서울특별시,110,노원구,
11,서울특별시,100,도봉구,
11,서울특별시,060,동대문구,
11,서울특별시,200,동작구,
11,서울특별시,140,마포구,
11,서울특별시,130,서대문구,
11,서울특별시,220,서초구,
11,서울특별시,040,성동구,
11,서울특별시,080,성북구,
11,서울특별시,240,송파구,
11,서울특별시,150,양천구,
11,서울특별시,190,영등포구,
11,서울특별시,030,용산구,
11,서울특별시,120,은평구,
11,서울특별시,010,종로구,
11,서울특별시,020,중구,
11,서울특별시,070,중랑구,
21,부산광역시,　　,,
21,부산광역시,120,강서구,
21,부산광역시,110,금정구,
21,부산광역시,070,남구,
21,부산광역시,030,동구,
21,부산광역시,060,동래구,
21,부산광역시,050,부산진구,
21,부산광역시,080,북구,
21,부산광역시,150,사상구,
21,부산광역시,100,사하구,
21,부산광역시,020,서구,
21,부산광역시,140,수영구,
21,부산광역시,130,연제구,
21,부산광역시,040,영도구,
21,부산광역시,010,중구,
21,부산광역시,090,해운대구,
21,부산광역시,310,기장군,
22,대구광역시,　　,,
22,대구광역시,040,남구,
22,대구광역시,070,달서구,
22,대구광역시,020,동구,
22,대구광역시,050,북구,
22,대구광역시,030,서구,
22,대구광역시,060,수성구,
22,대구광역시,010,중구,
22,대구광역시,310,달성군,
23,인천광역시,　　,,
23,인천광역시,070,계양구,
23,인천광역시,030,남구,
23,인천광역시,050,남동구,
23,인천광역시,020,동구,
23,인천광역시,060,부평구,
23,인천광역시,080,서구,
23,인천광역시,040,연수구,
23,인천광역시,010,중구,
23,인천광역시,310,강화군,
23,인천광역시,320,옹진군,
25,대전광역시,　　,,
25,대전광역시,050,대덕구,
25,대전광역시,010,동구,
25,대전광역시,030,서구,
25,대전광역시,040,유성구,
25,대전광역시,020,중구,
29,세종특별자치시,010,세종시,
24,광주광역시,　　,,
24,광주광역시,050,광산구,
24,광주광역시,030,남구,
24,광주광역시,010,동구,
24,광주광역시,040,북구,
24,광주광역시,020,서구,
26,울산광역시,　　,,
26,울산광역시,020,남구,
26,울산광역시,030,동구,
26,울산광역시,040,북구,
26,울산광역시,010,중구,
26,울산광역시,310,울주군,
31,경기도,　　,,
31,경기도,100,고양시,
31,경기도,110,과천시,
31,경기도,060,광명시,
31,경기도,250,광주시,
31,경기도,120,구리시,
31,경기도,160,군포시,
31,경기도,230,김포시,
31,경기도,130,남양주시,
31,경기도,080,동두천시,
31,경기도,050,부천시,
31,경기도,020,성남시,
31,경기도,010,수원시,
31,경기도,150,시흥시,
31,경기도,090,안산시,
31,경기도,220,안성시,
31,경기도,040,안양시,
31,경기도,260,양주시,
31,경기도,140,오산시,
31,경기도,190,용인시,
31,경기도,170,의왕시,
31,경기도,030,의정부시,
31,경기도,210,이천시,
31,경기도,200,파주시,
31,경기도,070,평택시,
31,경기도,270,포천시,
31,경기도,180,하남시,
31,경기도,240,화성시,
31,경기도,370,가평군,
31,경기도,380,양평군,
31,경기도,280,여주시,
31,경기도,350,연천군,
32,강원도,　　,,
32,강원도,030,강릉시,
32,강원도,040,동해시,
32,강원도,070,삼척시,
32,강원도,060,속초시,
32,강원도,020,원주시,
32,강원도,010,춘천시,
32,강원도,050,태백시,
32,강원도,400,고성군,
32,강원도,380,양구군,
32,강원도,410,양양군,
32,강원도,330,영월군,
32,강원도,390,인제군,
32,강원도,350,정선군,
32,강원도,360,철원군,
32,강원도,340,평창군,
32,강원도,310,홍천군,
32,강원도,370,화천군,
32,강원도,320,횡성군,
33,충청북도,　　,,
33,충청북도,030,제천시,
33,충청북도,040,청주시,
33,충청북도,020,충주시,
33,충청북도,360,괴산군,
33,충청북도,380,단양군,
33,충청북도,320,보은군,
33,충청북도,340,영동군,
33,충청북도,330,옥천군,
33,충청북도,370,음성군,
33,충청북도,390,증평군,
33,충청북도,350,진천군,
34,충청남도,　　,,
34,충청남도,070,계룡시,
34,충청남도,020,공주시,
34,충청남도,060,논산시,
34,충청남도,030,보령시,
34,충청남도,050,서산시,
34,충청남도,040,아산시,
34,충청남도,010,천안시,
34,충청남도,310,금산군,
34,충청남도,080,당진시,
34,충청남도,330,부여군,
34,충청남도,340,서천군,
34,충청남도,370,예산군,
34,충청남도,350,청양군,
34,충청남도,380,태안군,
34,충청남도,360,홍성군,
37,경상북도,　　,,
37,경상북도,100,경산시,
37,경상북도,020,경주시,
37,경상북도,050,구미시,
37,경상북도,030,김천시,
37,경상북도,090,문경시,
37,경상북도,080,상주시,
37,경상북도,040,안동시,
37,경상북도,060,영주시,
37,경상북도,070,영천시,
37,경상북도,010,포항시,
37,경상북도,370,고령군,
37,경상북도,310,군위군,
37,경상북도,410,봉화군,
37,경상북도,380,성주군,
37,경상북도,350,영덕군,
37,경상북도,340,영양군,
37,경상북도,400,예천군,
37,경상북도,430,울릉군,
37,경상북도,420,울진군,
37,경상북도,320,의성군,
37,경상북도,360,청도군,
37,경상북도,330,청송군,
37,경상북도,390,칠곡군,
38,경상남도,　　,,
38,경상남도,090,거제시,
38,경상남도,070,김해시,
38,경상남도,080,밀양시,
38,경상남도,060,사천시,
38,경상남도,100,양산시,
38,경상남도,030,진주시,
38,경상남도,110,창원시,
38,경상남도,050,통영시,
38,경상남도,390,거창군,
38,경상남도,340,고성군,
38,경상남도,350,남해군,
38,경상남도,370,산청군,
38,경상남도,310,의령군,
38,경상남도,330,창녕군,
38,경상남도,360,하동군,
38,경상남도,320,함안군,
38,경상남도,380,함양군,
38,경상남도,400,합천군,
35,전라북도,　　,,
35,전라북도,020,군산시,
35,전라북도,060,김제시,
35,전라북도,050,남원시,
35,전라북도,030,익산시,
35,전라북도,010,전주시,
35,전라북도,040,정읍시,
35,전라북도,370,고창군,
35,전라북도,330,무주군,
35,전라북도,380,부안군,
35,전라북도,360,순창군,
35,전라북도,310,완주군,
35,전라북도,350,임실군,
35,전라북도,340,장수군,
35,전라북도,320,진안군,
36,전라남도,　　,,
36,전라남도,060,광양시,
36,전라남도,040,나주시,
36,전라남도,010,목포시,
36,전라남도,030,순천시,
36,전라남도,020,여수시,
36,전라남도,390,강진군,
36,전라남도,350,고흥군,
36,전라남도,320,곡성군,
36,전라남도,330,구례군,
36,전라남도,310,담양군,
36,전라남도,420,무안군,
36,전라남도,360,보성군,
36,전라남도,480,신안군,
36,전라남도,440,영광군,
36,전라남도,410,영암군,
36,전라남도,460,완도군,
36,전라남도,450,장성군,
36,전라남도,380,장흥군,
36,전라남도,470,진도군,
36,전라남도,430,함평군,
36,전라남도,400,해남군,
36,전라남도,370,화순군,
39,제주특별자치도,　　,,
39,제주특별자치도,010,제주시,
39,제주특별자치도,020,서귀포시,
